monotonic_violation_count,monotonic_violation_rate,max_positive_jump,mean_positive_jump,total_positive_jump,curve_has_violation,series,method,block_id,policy,cell_code,input_start_cycle,input_end_cycle
23,0.46938775510204084,0.008936464786529652,0.0029278967691504583,0.06734162569046054,1,direct_retention,direct_retention,796,7C-40PER_3C,460506,452,551
24,0.4897959183673469,0.004869103431701771,0.001321879525979383,0.031725108623505194,1,direct_retention,direct_retention,797,7C-40PER_3_6C,460642,2,101
20,0.40816326530612246,0.0022214055061341442,0.0010056167840957308,0.020112335681914617,1,direct_retention,direct_retention,798,7C-40PER_3_6C,460642,152,251
25,0.5102040816326531,0.00406968593597401,0.0016278362274170012,0.04069590568542503,1,direct_retention,direct_retention,799,7C-40PER_3_6C,460642,302,401
17,0.3469387755102041,0.004244625568389893,0.0018974297186907468,0.0322563052177427,1,direct_retention,direct_retention,800,7C-40PER_3_6C,460642,452,551
22,0.4489795918367347,0.005131483078003041,0.0016932460394772616,0.037251412868499756,1,direct_retention,direct_retention,801,80PER_3_6C,460486,1,100
22,0.4489795918367347,0.003756403923034557,0.0014260980215939458,0.031374156475066806,1,direct_retention,direct_retention,802,80PER_3_6C,460486,151,250
22,0.4489795918367347,0.02074551582336437,0.005339408462697809,0.1174669861793518,1,direct_retention,direct_retention,803,80PER_3_6C,460486,301,400
22,0.4489795918367347,0.00495702028274525,0.002304318276318637,0.05069500207901001,1,direct_retention,direct_retention,804,80PER_3_6C,460486,451,550
24,0.4897959183673469,0.011617660522460826,0.0033727586269378523,0.08094620704650846,1,direct_retention,direct_retention,805,80PER_3_6C,460486,601,700
25,0.5102040816326531,0.007890939712524414,0.0025328421592712446,0.06332105398178112,1,direct_retention,direct_retention,806,80PER_3_6C,460486,751,850
24,0.4897959183673469,0.004403531551361195,0.001864006121953347,0.04473614692688033,1,direct_retention,direct_retention,807,80PER_4C,464865,1,100
21,0.42857142857142855,0.010141372680663951,0.0027776587577093056,0.05833083391189542,1,direct_retention,direct_retention,808,80PER_4C,464865,151,250
23,0.46938775510204084,0.004668951034545787,0.0023003272388292155,0.052907526493071955,1,direct_retention,direct_retention,809,80PER_4C,464865,301,400
23,0.46938775510204084,0.00438845157623291,0.0010525117749753013,0.02420777082443193,1,direct_retention,direct_retention,810,8C-15PER_3_6C,460647,2,101
22,0.4489795918367347,0.001795053482055664,0.0006694333119825833,0.014727532863616832,1,direct_retention,direct_retention,811,8C-15PER_3_6C,460647,152,251
24,0.4897959183673469,0.00277310609817516,0.001011545459429437,0.024277091026306485,1,direct_retention,direct_retention,812,8C-15PER_3_6C,460647,302,401
25,0.5102040816326531,0.0042070746421816185,0.0013085579872131525,0.03271394968032881,1,direct_retention,direct_retention,813,8C-15PER_3_6C,460647,452,551
20,0.40816326530612246,0.0065310001373289905,0.002861583232879705,0.057231664657594106,1,direct_retention,direct_retention,814,8C-15PER_3_6C,460647,602,701
24,0.4897959183673469,0.005859375,0.002000200251738226,0.04800480604171742,1,direct_retention,direct_retention,815,8C-15PER_3_6C,460647,752,851
22,0.4489795918367347,0.0016089677810668945,0.0005335347218946826,0.011737763881683017,1,direct_retention,direct_retention,816,8C-25PER_3_6C,460618,2,101
24,0.4897959183673469,0.00341475009918224,0.000853714843591045,0.02048915624618508,1,direct_retention,direct_retention,817,8C-25PER_3_6C,460618,152,251
20,0.40816326530612246,0.004813969135284424,0.0020832270383835394,0.04166454076767079,1,direct_retention,direct_retention,818,8C-25PER_3_6C,460618,302,401
20,0.40816326530612246,0.008669197559356578,0.0034545809030532724,0.06909161806106545,1,direct_retention,direct_retention,819,8C-25PER_3_6C,460618,452,551
22,0.4489795918367347,0.00465536117553722,0.0009026364846662739,0.019858002662658025,1,direct_retention,direct_retention,820,8C-35PER_3_6C,460485,2,101
22,0.4489795918367347,0.00301605463027943,0.0013913945718245072,0.03061068058013916,1,direct_retention,direct_retention,821,8C-35PER_3_6C,460485,152,251
24,0.4897959183673469,0.004709124565124623,0.001725075145562513,0.04140180349350031,1,direct_retention,direct_retention,822,8C-35PER_3_6C,460485,302,401
20,0.40816326530612246,0.004188239574432373,0.0016942322254180852,0.033884644508361705,1,direct_retention,direct_retention,823,8C-35PER_3_6C,460485,452,551
21,0.42857142857142855,0.005194664001464955,0.002641876538594569,0.05547940731048595,1,direct_retention,direct_retention,824,VARCHARGE_2C_100CYCLES,737301,1,100
24,0.4897959183673469,0.004702806472778209,0.0018563494086265703,0.04455238580703769,1,direct_retention,direct_retention,825,VARCHARGE_2C_100CYCLES,737301,151,250
25,0.5102040816326531,0.0025234222412111595,0.0011269140243530319,0.028172850608825795,1,direct_retention,direct_retention,826,VARCHARGE_2C_100CYCLES,737301,301,400
23,0.46938775510204084,0.003103613853454479,0.001061097435329252,0.024405241012572798,1,direct_retention,direct_retention,827,VARCHARGE_2C_100CYCLES,737301,451,550
25,0.5102040816326531,0.0032573938369752087,0.0011471700668335095,0.028679251670837735,1,direct_retention,direct_retention,828,VARCHARGE_2C_100CYCLES,737301,601,700
26,0.5306122448979592,0.007898271083831898,0.003106140173398514,0.08075964450836137,1,direct_retention,direct_retention,829,VARCHARGE_4C_100CYCLES,737324,1,100
22,0.4489795918367347,0.010704457759857067,0.004819217053326683,0.10602277517318703,1,direct_retention,direct_retention,830,VARCHARGE_6C_100CYCLES,739483,152,251
24,0.4897959183673469,0.008577167987823597,0.003296616176764175,0.0791187882423402,1,deployable_bridge,deployable_bridge,580,3_6C-80PER_3_6C,460486,2,101
24,0.4897959183673469,0.009556472301482932,0.0033314128716786565,0.07995390892028775,1,deployable_bridge,deployable_bridge,581,3_6C-80PER_3_6C,460486,152,251
24,0.4897959183673469,0.010706424713134766,0.0017575894792874562,0.04218214750289895,1,deployable_bridge,deployable_bridge,582,3_6C-80PER_3_6C,460486,302,401
23,0.46938775510204084,0.012989342212676891,0.0036745822947958336,0.08451539278030418,1,deployable_bridge,deployable_bridge,583,3_6C-80PER_3_6C,460486,452,551
25,0.5102040816326531,0.012180685997009277,0.0035372447967528986,0.08843111991882247,1,deployable_bridge,deployable_bridge,584,3_6C-80PER_3_6C,460486,602,701
27,0.5510204081632653,0.01926356554031372,0.004978319009145117,0.13441461324691817,1,deployable_bridge,deployable_bridge,585,3_6C-80PER_3_6C,460486,752,851
25,0.5102040816326531,0.019723117351531982,0.005915799140930211,0.14789497852325528,1,deployable_bridge,deployable_bridge,586,3_6C-80PER_3_6C,460486,902,1001
28,0.5714285714285714,0.00974571704864513,0.004512286611965732,0.1263440251350405,1,deployable_bridge,deployable_bridge,587,3_6C_30PER_6C,734853,1,100
24,0.4897959183673469,0.05883967876434326,0.018167133132616697,0.43601119518280074,1,deployable_bridge,deployable_bridge,588,3_6C_30PER_6C,734853,151,250
25,0.5102040816326531,0.030551135540008545,0.011073060035705566,0.27682650089263916,1,deployable_bridge,deployable_bridge,589,3_6C_30PER_6C,734853,301,400
25,0.5102040816326531,0.011669278144836426,0.004061284065246577,0.10153210163116444,1,deployable_bridge,deployable_bridge,590,3_6C_9PER_5C,720452,1,100
23,0.46938775510204084,0.04774087667465221,0.01792550605276358,0.41228663921356234,1,deployable_bridge,deployable_bridge,591,3_6C_9PER_5C,720452,151,250
24,0.4897959183673469,0.010627150535583385,0.004593536257743831,0.11024487018585194,1,deployable_bridge,deployable_bridge,592,3_7C_31PER_5_9C_NEWSTRUCTURE,737229,1,100
24,0.4897959183673469,0.018208801746368408,0.007313472529252352,0.17552334070205644,1,deployable_bridge,deployable_bridge,593,3_7C_31PER_5_9C_NEWSTRUCTURE,737229,151,250
22,0.4489795918367347,0.02592259645462036,0.008000734177502718,0.17601615190505981,1,deployable_bridge,deployable_bridge,594,3_7C_31PER_5_9C_NEWSTRUCTURE,737229,301,400
22,0.4489795918367347,0.04894524812698364,0.013824091716246172,0.30413001775741577,1,deployable_bridge,deployable_bridge,595,3_7C_31PER_5_9C_NEWSTRUCTURE,737229,451,550
25,0.5102040816326531,0.00593388080596946,0.0021702218055724832,0.05425554513931208,1,deployable_bridge,deployable_bridge,596,4C-80PER_4C,464865,2,101
25,0.5102040816326531,0.01102888584136974,0.004378423690795916,0.1094605922698979,1,deployable_bridge,deployable_bridge,597,4C-80PER_4C,464865,152,251
20,0.40816326530612246,0.007460117340088002,0.00340525805950167,0.0681051611900334,1,deployable_bridge,deployable_bridge,598,4C-80PER_4C,464865,302,401
